,number,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3
0,0.0,0.6410757946210269,0.7491623652992848,0.9999999999999951,0.31358166738578064,0.2801188935231795,0.30122249388753053,-7.216449660063518e-16,0.19913067101331108,0.0,0.9771174221051949,0.07008964955175224,0.07905460472697637,0.10105949470252648,0.08231458842705787,0.08883455582722087,0.09942950285248574,0.10024449877750612,0.07742461287693561,0.07579462102689487,0.08231458842705787,0.05623471882640587,0.08720456397718011,1227.0,0.10225,label3x,label7x,label6x,2,6,5
1,1.0,0.6726912405866032,0.7362927731536537,6.106226635438361e-16,0.31272294887039237,0.2590053857452612,0.5135552913198572,0.6052318668252074,0.19143876337693252,0.0,0.9439312174151656,0.07253269916765755,0.07253269916765755,0.08085612366230678,0.10225921521997622,0.09155766944114149,0.054696789536266346,0.054696789536266346,0.10582639714625446,0.09988109393579073,0.07372175980975029,0.12366230677764566,0.06777645659928656,841.0,0.07008333333333333,label11x,label8x,label4x,10,7,3
2,2.0,0.6574327752409944,0.7491121258244545,0.9999999999999936,0.31202435312024346,0.27016742770167423,0.32754946727549467,0.6156773211567725,0.19271097581599808,0.0,0.9585528626624497,0.0974124809741248,0.0867579908675799,0.09360730593607305,0.08295281582952815,0.0882800608828006,0.0943683409436834,0.0806697108066971,0.1050228310502283,0.08751902587519025,0.07382039573820395,0.0730593607305936,0.0365296803652968,1314.0,0.1095,label8x,label1x,label6x,7,0,5
3,3.0,0.6587623504940198,0.5410816432657306,-4.274358644806853e-15,0.32467651647242346,0.26323758832706246,0.30655226209048375,0.2570202808112322,0.35682093950424687,0.0,0.07812312492500095,0.07956318252730109,0.06630265210608424,0.062402496099843996,0.06786271450858035,0.06786271450858035,0.0811232449297972,0.08658346333853355,0.06630265210608424,0.12402496099843993,0.078003120124805,0.05694227769110764,0.16302652106084242,1282.0,0.10683333333333334,label12x,label9x,label7x,11,8,6
4,4.0,0.6327380952380953,0.5617283950617283,0.9999999999999988,0.31238328664799253,0.27509337068160594,0.32519841269841265,0.2614087301587298,0.32616843033509696,0.0,0.0888278388278404,0.09226190476190477,0.09623015873015874,0.07738095238095238,0.11507936507936507,0.0763888888888889,0.07738095238095238,0.08333333333333333,0.07341269841269842,0.061507936507936505,0.08333333333333333,0.061507936507936505,0.10218253968253968,1008.0,0.084,label4x,label12x,label2x,3,11,1
5,5.0,0.6868319559228651,0.606795224977043,5.551115123125783e-16,0.32163344676713657,0.26971317452600874,0.308595041322314,-6.661338147750939e-16,0.8426078971533519,0.0,0.976986649713923,0.07768595041322314,0.09090909090909091,0.06942148760330578,0.08099173553719008,0.08099173553719008,0.11570247933884298,0.0512396694214876,0.08099173553719008,0.07933884297520662,0.09917355371900827,0.13884297520661157,0.03471074380165289,605.0,0.050416666666666665,label11x,label6x,label10x,10,5,9
6,6.0,0.671418286537077,0.14278857691384694,1.0000000000000007,0.2919578198450005,0.2952610849955533,0.34730021598272137,-6.661338147750939e-16,0.20974322054235658,0.0,0.9676025917926572,0.09503239740820735,0.10583153347732181,0.08423326133909287,0.08855291576673865,0.09719222462203024,0.0755939524838013,0.08423326133909287,0.15334773218142547,0.0,0.12311015118790497,0.0,0.09287257019438445,463.0,0.03858333333333333,label8x,label10x,label2x,7,9,1
7,7.0,0.6425954997383568,0.08547008547008683,1.0000000000000004,0.3160956690368455,0.26299750669498567,0.3891679748822608,0.622448979591836,0.2637362637362637,0.0,0.9532665137060747,0.08006279434850863,0.07849293563579278,0.09733124018838304,0.10361067503924647,0.08634222919937205,0.09105180533751962,0.08163265306122448,0.10204081632653061,0.13814756671899528,0.06907378335949764,0.0,0.07221350078492936,637.0,0.05308333333333334,label9x,label4x,label8x,8,3,7
8,8.0,0.6728542914171657,0.7262142381902871,5.551115123125783e-16,0.3250264177527298,0.26708348009862626,0.012425149700600213,0.636227544910179,0.1498669328010644,0.0,0.9678719484108709,0.05538922155688623,0.0688622754491018,0.08083832335329341,0.05389221556886228,0.06736526946107785,0.0748502994011976,0.059880239520958084,0.0748502994011976,0.1407185628742515,0.0748502994011976,0.15269461077844312,0.09580838323353294,668.0,0.05566666666666667,label11x,label9x,label12x,10,8,11
9,9.0,0.6586517552034793,0.7423630527078805,-1.4988010832439613e-15,0.3315059481388081,0.26188257222739975,0.32833178005591795,-7.216449660063518e-16,0.1763487625556587,0.0,0.9593519248691649,0.097856477166822,0.09972041006523766,0.09226467847157502,0.09972041006523766,0.10251630941286113,0.09692451071761417,0.10997204100652376,0.05125815470643057,0.013979496738117428,0.07082945013979497,0.1043802423112768,0.06057781919850885,1073.0,0.08941666666666667,label7x,label11x,label5x,6,10,4
10,10.0,0.6436417033773862,0.5608418991678902,0.999999999999997,0.3036537963202902,0.27639284788805385,0.3216740088105727,0.2374449339207042,0.903866862457171,0.0,0.9430701457133165,0.08722466960352424,0.07577092511013216,0.06255506607929516,0.06607929515418502,0.07400881057268723,0.08105726872246696,0.10748898678414097,0.09251101321585903,0.07312775330396476,0.09515418502202644,0.12246696035242291,0.06255506607929516,1135.0,0.09458333333333334,label11x,label7x,label10x,10,6,9
11,11.0,0.6716831683168317,0.08866886688669173,6.106226635438361e-16,0.31607454863133366,0.26004659289458354,0.3228712871287128,0.29603960396039597,0.19372937293729361,0.0,0.9631378522467621,0.09108910891089109,0.100990099009901,0.08811881188118811,0.07128712871287128,0.09405940594059406,0.05247524752475247,0.0801980198019802,0.055445544554455446,0.09801980198019802,0.06336633663366337,0.1,0.10495049504950495,1010.0,0.08416666666666667,label12x,label2x,label11x,11,1,10
12,12.0,0.6671189507010402,0.5851047791346298,6.106226635438361e-16,0.33123154282065603,0.2606752334583765,0.3257801899592944,0.5956580732700129,0.8777325493743416,0.0,0.9527189228681772,0.07462686567164178,0.06919945725915876,0.09633649932157395,0.07462686567164178,0.06919945725915876,0.08683853459972862,0.06377204884667571,0.09226594301221167,0.0814111261872456,0.13161465400271372,0.07869742198100407,0.0814111261872456,737.0,0.06141666666666667,label10x,label3x,label8x,9,2,7
